"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ly6c1",1.50428801914428e-43,2.73220958172744,0.646,0.064,2.1404514224404e-39,7,"Ly6c1"
"P3h3",2.03330061143132e-43,0.946236378138544,0.604,0.051,2.89318344000563e-39,7,"P3h3"
"Fcgrt",2.95833338398349e-43,1.32902929554622,0.875,0.147,4.20941257207011e-39,7,"Fcgrt"
"B3gnt9",3.28821451866017e-43,0.528908790590963,0.333,0.008,4.67880043860156e-39,7,"B3gnt9"
"Tram2",7.06039428835087e-43,0.651357968618609,0.5,0.031,1.00462350328945e-38,7,"Tram2"
"Bmp1.1",7.61797441455192e-43,1.56006845217709,0.771,0.104,1.08396157944659e-38,7,"Bmp1"
"Hand2",1.41033525893992e-42,0.470155380116035,0.333,0.008,2.00676603994561e-38,7,"Hand2"
"Rcn1",1.8375630860881e-42,1.27968368490286,0.75,0.095,2.61466851519476e-38,7,"Rcn1"
"P3h1",3.26254975026023e-42,0.716867028997415,0.5,0.032,4.64228203964528e-38,7,"P3h1"
"Il1r1",3.92339930374211e-42,1.3200631464187,0.667,0.069,5.58260486929464e-38,7,"Il1r1"
"Fyn",4.85771351776747e-42,0.812136344895802,0.5,0.032,6.91204056443133e-38,7,"Fyn"
"Antxr2.1",6.9273868615101e-42,1.29257620051286,0.75,0.093,9.85697876524272e-38,7,"Antxr2"
"Cfh.1",1.199268617521e-41,2.09717154309553,0.854,0.13,1.70643931587063e-37,7,"Cfh"
"Pdzd2",1.41458991604526e-41,0.549372893150679,0.312,0.007,2.0128199915408e-37,7,"Pdzd2"
"Lrrn2",1.44896440641702e-41,0.574669745713323,0.271,0.004,2.06173145389078e-37,7,"Lrrn2"
"Tmem119",1.62971484398222e-41,0.472544302493885,0.271,0.004,2.3189212515023e-37,7,"Tmem119"
"Il11ra1.2",2.15317161126448e-41,2.02386826202896,0.917,0.191,3.06374788566822e-37,7,"Il11ra1"
"Hmcn2",6.85332222119934e-41,0.96618726698971,0.25,0.002,9.75159218854454e-37,7,"Hmcn2"
"Ppic",7.258107143364e-41,1.92448642369923,0.875,0.169,1.03275606542926e-36,7,"Ppic"
"Fbln7",7.90317025054323e-41,0.455992534670526,0.25,0.002,1.1245420949498e-36,7,"Fbln7"
"Rem1",8.18607587160121e-41,0.388878338811989,0.25,0.002,1.16479673577014e-36,7,"Rem1"
"Efemp2",8.25333135210734e-41,1.48307698073418,0.833,0.141,1.17436651809135e-36,7,"Efemp2"
"Asap3",8.47820799518512e-41,0.365794725698948,0.25,0.002,1.20636421563489e-36,7,"Asap3"
"Scarf2",9.43854239905369e-41,0.783924362903367,0.521,0.038,1.34301019796135e-36,7,"Scarf2"
"Gypc",1.13007020874643e-40,0.315058105520318,0.25,0.002,1.60797690002529e-36,7,"Gypc"
"Podxl2",2.86365884945139e-40,0.490499243058988,0.292,0.006,4.07470017688438e-36,7,"Podxl2"
"Hotairm1",2.99537797573694e-40,0.427112557299465,0.292,0.006,4.26212332167609e-36,7,"Hotairm1"
"Apod",3.351969096782e-40,1.06355965472385,0.354,0.012,4.76951682781111e-36,7,"Apod"
"Plpp3.3",8.51970714330206e-40,2.58288065791043,0.917,0.193,1.21226912942045e-35,7,"Plpp3"
"Plscr4",1.1510214081704e-39,0.552617540308008,0.375,0.016,1.63778836168566e-35,7,"Plscr4"
"Gsn.5",1.31108536163199e-39,5.6144650886039,1,0.362,1.86554336106616e-35,7,"Gsn"
"Zfhx4",1.64049259685534e-39,0.807236196382444,0.438,0.025,2.33425691606546e-35,7,"Zfhx4"
"Serpinh1.4",1.95885520828224e-39,3.24899216375106,1,0.37,2.7872550758648e-35,7,"Serpinh1"
"Lpar1",2.16940053701253e-39,1.14015176966208,0.562,0.05,3.08684002411512e-35,7,"Lpar1"
"Sspn",3.52388257723463e-39,0.654689829316357,0.438,0.025,5.01413251914716e-35,7,"Sspn"
"Sp100",4.55799655870589e-39,0.747977666496975,0.521,0.039,6.48557330338261e-35,7,"Sp100"
"Boc",5.28613717575003e-39,0.362363820298674,0.271,0.005,7.52164458737472e-35,7,"Boc"
"Slc10a6",6.52067269563775e-39,0.360651422422988,0.271,0.005,9.27826517862295e-35,7,"Slc10a6"
"Sparc.5",8.06235878781654e-39,4.26139692716279,1,0.344,1.14719303191841e-34,7,"Sparc"
"Fgf7",1.03949622355638e-38,0.352119788801872,0.271,0.005,1.47909917649837e-34,7,"Fgf7"
"Prss23",1.05278500100133e-38,1.83650376459111,0.729,0.106,1.49800777792479e-34,7,"Prss23"
"Plod1",1.18039214802184e-38,0.894163157007367,0.542,0.047,1.67957998742028e-34,7,"Plod1"
"Chl1",1.24604815678705e-38,1.49482561579458,0.396,0.019,1.7730019222923e-34,7,"Chl1"
"Cyth3",1.49694091241168e-38,1.09557092186439,0.625,0.068,2.12999722427058e-34,7,"Cyth3"
"Bmp4",3.86286689074158e-38,0.792083475003397,0.396,0.02,5.49647329883619e-34,7,"Bmp4"
"Ank2",4.83367709010918e-38,0.403036401808649,0.292,0.007,6.87783913151635e-34,7,"Ank2"
"Fbln2.5",5.17758309143189e-38,2.51461577756323,1,0.257,7.36718298079844e-34,7,"Fbln2"
"Galnt15",5.79275658551845e-38,0.454276062081505,0.25,0.004,8.24251334553421e-34,7,"Galnt15"
"Twist1",6.99662955548928e-38,0.595516688833885,0.354,0.014,9.9555041945057e-34,7,"Twist1"
"Scrn1",8.64462807832741e-38,0.338904847474685,0.25,0.004,1.23004412926521e-33,7,"Scrn1"
"Rftn1",9.57198802838876e-38,0.58265317017225,0.333,0.012,1.36199817655944e-33,7,"Rftn1"
"Fhl1",1.99893871079909e-37,0.658029402661489,0.438,0.027,2.84428989159602e-33,7,"Fhl1"
"Cdk14",2.09591282137916e-37,0.682301186844262,0.625,0.066,2.98227435354041e-33,7,"Cdk14"
"Kdelc2",3.26029148537294e-37,0.96696203114764,0.646,0.078,4.63906875453715e-33,7,"Kdelc2"
"Heg1.1",3.65346628029626e-37,1.70713077555595,0.771,0.116,5.19851717023355e-33,7,"Heg1"
"Gas7",3.76751514167805e-37,0.884128248467873,0.521,0.042,5.3607972950937e-33,7,"Gas7"
"Fam114a1",1.18064978276872e-36,0.984941832766396,0.708,0.1,1.67994657590161e-32,7,"Fam114a1"
"Clip4",1.3739010250006e-36,0.487088614896336,0.271,0.006,1.95492376847336e-32,7,"Clip4"
"Wipf1",1.75255500557104e-36,0.515346340149902,0.354,0.016,2.49371051742703e-32,7,"Wipf1"
"Fam20a",3.68928981680107e-36,0.425404214837103,0.292,0.008,5.24949048032624e-32,7,"Fam20a"
"Tshz3",4.9389710691718e-36,0.378610003358162,0.292,0.008,7.02766193432455e-32,7,"Tshz3"
"Fzd4",6.00915405307759e-36,0.915561193919742,0.479,0.037,8.5504253021241e-32,7,"Fzd4"
"Arhgap29",6.66219192680524e-36,0.943400891689455,0.646,0.076,9.47963289265118e-32,7,"Arhgap29"
"Prnp",1.0456335639733e-35,0.81615943384558,0.729,0.105,1.48783199817761e-31,7,"Prnp"
"Cldn15",2.35913394121514e-35,0.513269201049179,0.25,0.005,3.35681168495502e-31,7,"Cldn15"
"Arhgef25",2.70446686017911e-35,0.820403960879402,0.458,0.035,3.84818589534886e-31,7,"Arhgef25"
